INDEX,DATE,TIME,E1,E2,E3,E4,E5,E6,C1,C2,C3,C4,C5,C6,OAT,DIF,CLD,MAP,RPM,HP,FF,FF2,OILP,BAT,OILT,USD,USD2,HRS,MARK
Engine - Tach Start = 24.7,Tach End = 5.6,Tach Duration = -19.1
0,6/14/2013,22:58:04, 1085, 1144, 1137, 1140, 1179, 1166, 255, 296, 304, 308, 305, 306, 77, 94, 12,19.0, 1223, 23,3.3,NA, 59,27.4, 105,0.2,NA,24.7,
1,6/14/2013,22:58:10, 1153, 1207, 1185, 1175, 1212, 1207, 255, 296, 304, 312, 305, 306, 77, 59, 0,19.6, 1570, 32,7.6,NA, 65,27.6, 105,0.2,NA,24.7,
2,6/14/2013,22:58:16, 1192, 1214, 1197, 1198, 1234, 1215, 255, 303, 309, 315, 310, 311, 77, 42, 0,20.7, 1750, 37,9.4,NA, 65,27.6, 105,0.2,NA,24.7,
3,6/14/2013,22:58:22, 1213, 1224, 1219, 1218, 1257, 1233, 255, 308, 309, 318, 314, 315, 77, 44, 0,20.7, 1776, 37,9.6,NA, 65,27.6, 105,0.2,NA,24.7,
4,6/14/2013,22:58:28, 1228, 1238, 1234, 1235, 1267, 1247, 259, 312, 314, 321, 318, 318, 77, 39, 0,21.1, 1798, 39,10.0,NA, 65,27.8, 105,0.2,NA,24.7,
5,6/14/2013,22:58:34, 1220, 1226, 1226, 1225, 1254, 1235, 263, 316, 317, 324, 322, 318, 77, 34, 0,21.1, 1790, 39,10.9,NA, 65,27.8, 105,0.2,NA,24.7,
6,6/14/2013,22:58:40, 1220, 1226, 1226, 1225, 1254, 1235, 267, 320, 320, 324, 325, 323, 75, 34, 0,21.3, 1783, 39,10.9,NA, 65,27.8, 105,0.2,NA,24.7,
7,6/14/2013,22:58:46, 1220, 1226, 1226, 1225, 1254, 1235, 271, 323, 320, 328, 328, 323, 75, 34, 0,21.3, 1809, 39,10.9,NA, 65,27.8, 105,0.2,NA,24.7,
8,6/14/2013,22:58:52, 1297, 1304, 1294, 1307, 1294, 1300, 275, 326, 323, 328, 328, 327, 75, 13, 0,22.4, 1682, 39,10.5,NA, 65,27.8, 105,0.4,NA,24.7,
9,6/14/2013,22:58:58, 1240, 1249, 1250, 1253, 1264, 1255, 275, 326, 323, 331, 331, 327, 75, 24, 0,21.5, 1810, 39,11.0,NA, 65,27.8, 111,0.4,NA,24.7,
10,6/14/2013,22:59:04, 1314, 1289, 1323, 1285, 1309, 1299, 279, 331, 326, 331, 331, 330, 75, 38, 0,22.7, 1654, 39,10.5,NA, 65,27.8, 111,0.4,NA,5.6,
11,6/14/2013,22:59:10, 1329, 1306, 1333, 1294, 1320, 1305, 282, 331, 326, 331, 335, 330, 75, 39, 0,22.4, 1705, 39,10.5,NA, 65,27.8, 111,0.4,NA,5.6,
12,6/14/2013,22:59:16, 1257, 1251, 1262, 1252, 1273, 1260, 285, 331, 329, 334, 335, 330, 75, 22, 0,21.4, 1809, 39,11.0,NA, 65,27.8, 111,0.4,NA,5.6,
13,6/14/2013,22:59:22, 1225, 1231, 1240, 1232, 1252, 1239, 285, 336, 329, 334, 339, 334, 75, 27, 0,23.9, 1525, 39,10.2,NA, 65,27.8, 111,0.4,NA,5.6,
14,6/14/2013,22:59:28, 1207, 1206, 1214, 1212, 1227, 1218, 290, 336, 333, 338, 339, 334, 75, 21, 0,23.6, 1554, 39,10.0,NA, 65,27.8, 111,0.4,NA,5.6,
15,6/14/2013,22:59:34, 1226, 1231, 1237, 1235, 1251, 1237, 293, 340, 333, 338, 343, 338, 75, 25, 0,21.4, 1807, 39,11.0,NA, 65,27.8, 111,0.4,NA,5.6,
16,6/14/2013,22:59:40, 1237, 1217, 1223, 1224, 1227, 1204, 293, 340, 333, 338, 343, 338, 75, 33, 0,14.5, 1101, 16,3.8,NA, 65,27.8, 111,0.4,NA,5.6,
17,6/14/2013,22:59:46, 927, 1051, 1114, 1110, 1110, 1085, 298, 337, 333, 335, 343, 338, 75, 187, 13,15.8, 669, 10,1.8,NA, 54,25.6, 117,0.4,NA,5.6,
18,6/14/2013,22:59:52, 818, 1011, 1072, 1068, 1068, 1040, 298, 334, 333, 335, 343, 335, 75, 254, 0,15.8, 683, 10,1.8,NA, 54,25.2, 117,0.4,NA,5.6,[
19,6/14/2013,22:59:53, 853, 1033, 1072, 1068, 1068, 1040, 298, 334, 333, 332, 340, 335, 75, 219, 0,15.8, 787, 12,2.2,NA, 54,25.5, 117,0.4,NA,5.6,
20,6/14/2013,22:59:54, 853, 1033, 1068, 1064, 1071, 1038, 299, 333, 332, 332, 340, 334, 75, 218, 0,15.8, 787, 12,2.2,NA, 54,25.5, 117,0.4,NA,5.6,]
